Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Valpolicella ripasso e Valpolicella' Rosso Superiore,vino 'Rosso Superiore',DOC vino 'Valpolicella ripasso e Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 50%",45%,"15%, 50%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella ripasso e Valpolicella' Rosso,vino 'Rosso',DOC vino 'Valpolicella ripasso e Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 47,5%",45%,"15%, 47,5%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella ripasso e Valpolicella' Rosso Classico,vino 'Rosso Classico',DOC vino 'Valpolicella ripasso e Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 50%",45%,"15%, 50%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella ripasso e Valpolicella' Rosso Valpantena,vino 'Rosso Valpantena',DOC vino 'Valpolicella ripasso e Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 50%",45%,"15%, 50%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella' Rosso,vino 'Rosso',DOC vino 'Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 25%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 47,5%, Vitigno 'Rondinella': massimo (<=) 30%, Vitigno 'Rondinella': minimo (>=) 5%","45%, 5%","25%, 30%, 47,5%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone', Vitigno 'Rondinella'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella' Rosso Superiore,vino 'Rosso Superiore',DOC vino 'Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 25%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 47,5%, Vitigno 'Rondinella': massimo (<=) 30%, Vitigno 'Rondinella': minimo (>=) 5%","45%, 5%","25%, 30%, 47,5%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone', Vitigno 'Rondinella'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella' Rosso Classico,vino 'Rosso Classico',DOC vino 'Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 25%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 47,5%, Vitigno 'Rondinella': massimo (<=) 30%, Vitigno 'Rondinella': minimo (>=) 5%","45%, 5%","25%, 30%, 47,5%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone', Vitigno 'Rondinella'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
Vino 'Valpolicella' Rosso Valpantena,vino 'Rosso Valpantena',DOC vino 'Valpolicella',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 25%, Vitigno 'Corvina': massimo (<=) 95%, Vitigno 'Corvina': minimo (>=) 45%, Vitigno 'Corvinone': massimo (<=) 47,5%, Vitigno 'Rondinella': massimo (<=) 30%, Vitigno 'Rondinella': minimo (>=) 5%","45%, 5%","25%, 30%, 47,5%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone', Vitigno 'Rondinella'",Veneto,"Provincia di Verona, Provincia di Verona","Cazzano di Tramigna, Cerro Veronese, Colognola ai Colli, Fumane, Grezzana, Illasi, Lavagno, Marano di Valpolicella, Mezzane di Sotto, Montecchia di Crosara, Negrar, Pescantina, San Mauro di Saline, Tregnago"
"Vino 'Veneto orientale' Novello, varietà un vitigno a bacca nera tra: Cabernet franc, Cabernet Sauvignon, Franconia, Malbech, Marzemino, Merlot, Pinot nero (anche vinificato in bianco), Raboso, Refosco dal peduncolo rosso, Ancellotta, Carmenere, Syrah, Merzemina bianca, Rebo, Petit Verdot'","vino 'Novello ', vino 'Novello'",IGT vino 'Veneto orientale',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Franconia', Vitigno 'Malbech', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Pinot Nero (Anche Vinificato In Bianco)', Vitigno 'Raboso Piave', Vitigno 'Raboso Veronese', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Ancellotta', Vitigno 'Carmenere', Vitigno 'Syrah', Vitigno 'Merzemina Bianca', Vitigno 'Rebo', Vitigno 'Petit Verdot': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Ancellotta', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Carmenere', Vitigno 'CarmèNere', Vitigno 'Franconia', Vitigno 'Malbech', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Merzemina Bianca', Vitigno 'Petit Verdot', Vitigno 'Pinot Nero (Anche Vinificato In Bianco)', Vitigno 'Raboso Piave', Vitigno 'Raboso Veronese', Vitigno 'Rebo', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Syrah'",Veneto,"Provincia di Treviso, Provincia di Venice",
"Vino 'Veneto orientale' Bianco Frizzante, varietà un vitigno a bacca bianca tra: Chardonnay, Incrocio Manzoni 6.0.13, Malvasia, Muller Thurgau, Pinot bianco, Pinot grigio, Riesling renano, Riesling italico, Sauvignon, Tai, Traminer aromatico, Verduzzo, Manzoni rosa, Manzoni moscato'",vino 'Bianco Frizzante',IGT vino 'Veneto orientale',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Chardonnay', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Istriana', Vitigno 'Muller Thurgau', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Traminer Aromatico', Vitigno 'Verduzzo Friulano', Vitigno 'Verduzzo Trevigiano', Vitigno 'Manzoni Rosa', Vitigno 'Manzoni Moscato': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Istriana', Vitigno 'Manzoni Moscato', Vitigno 'Manzoni Rosa', Vitigno 'Muller Thurgau', Vitigno 'MüLler Thurgau', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Traminer Aromatico', Vitigno 'Verduzzo Friulano', Vitigno 'Verduzzo Trevigiano'",Veneto,"Provincia di Treviso, Provincia di Venice",
