Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Valle d'Itria' Rosso Passito, varietà un vitigno a bacca nera tra: Aglianico, Aleatico, Barbera, Bombino nero, Cabernet Franc, Cabernet Sauvignon, Lambrusco Maestri, Lambrusco, Malbech, Malvasia nera di Brindisi, Malvasia nera di Lecce, Merlot, Negroamaro, Negroamaro precoce cannellino, Petit Verdot, Pinot nero, Primitivo, Refosco dal Peduncolo rosso, Sangiovese , Susumaniello, Syrah, Uva di Troia'",vino 'Rosso Passito',IGT vino 'Valle d'Itria',"Vitigno 'Aglianico', Vitigno 'Aleatico', Vitigno 'Barbera', Vitigno 'Bombino Nero', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Lambrusco Maestri', Vitigno 'Lambrusco', Vitigno 'Malbech', Vitigno 'Malvasia Nera Di Brindisi', Vitigno 'Malvasia Nera Di Lecce', Vitigno 'Merlot', Vitigno 'Negroamaro', Vitigno 'Negroamaro Precoce Cannellino', Vitigno 'Petit Verdot', Vitigno 'Pinot Nero', Vitigno 'Primitivo', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Sangiovese', Vitigno 'Susumaniello', Vitigno 'Syrah', Vitigno 'Uva Di Troia': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%",85%,15%,"Vitigno 'Aglianico', Vitigno 'Aleatico', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Bombino Nero', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Lambrusco Maestri', Vitigno 'Lambrusco', Vitigno 'Malbech', Vitigno 'Malvasia Nera Di Brindisi', Vitigno 'Malvasia Nera Di Lecce', Vitigno 'Merlot', Vitigno 'Negroamaro Precoce Cannellino', Vitigno 'Negroamaro', Vitigno 'Petit Verdot', Vitigno 'Pinot Nero', Vitigno 'Primitivo', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Sangiovese', Vitigno 'Susumaniello', Vitigno 'Syrah', Vitigno 'Uva Di Troia'",Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
"Vino 'Valle d'Itria' Bianco Da Uve Stramature, varietà un vitigno a bacca bianca tra: Bianco di Alessano, Bombino bianco, Chardonnay, Falanghina, Fiano, Greco, Greco bianco, Incrocio Manzoni 6.0.13, Malvasia bianca, Montonico, Moscatello selvatico, Moscato bianco, Pampanuto, Pinot bianco, Pinot grigio, Riesling italico, Riesling renano, Sauvignon, Semillon, Sylvaner verde, Verdeca, Verdicchio, Vermentino'",vino 'Bianco Da Uve Stramature',IGT vino 'Valle d'Itria',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Bianco Di Alessano', Vitigno 'Bombino Bianco', Vitigno 'Chardonnay', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco', Vitigno 'Greco Bianco', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Montonico', Vitigno 'Moscatello Selvatico', Vitigno 'Moscato Bianco', Vitigno 'Pampanuto', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Semillon', Vitigno 'Sylvaner Verde', Vitigno 'Verdeca', Vitigno 'Verdicchio', Vitigno 'Vermentino': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Bianco Di Alessano', Vitigno 'Bombino Bianco', Vitigno 'Chardonnay', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco Bianco', Vitigno 'Greco', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Bianca', Vitigno 'Montonico', Vitigno 'Moscatello Selvatico', Vitigno 'Moscato Bianco', Vitigno 'Pampanuto', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Semillon', Vitigno 'Sylvaner Verde', Vitigno 'Verdeca', Vitigno 'Verdicchio', Vitigno 'Vermentino'",Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
Vino 'Valle d'Itria' Rosato,vino 'Rosato',IGT vino 'Valle d'Itria',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Provincia': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Provincia',Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
Vino 'Valle d'Itria' Rosso,vino 'Rosso',IGT vino 'Valle d'Itria',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia',Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
"Vino 'Valle d'Itria' Rosso Frizzante, varietà un vitigno a bacca nera tra: Aglianico, Aleatico, Barbera, Bombino nero, Cabernet Franc, Cabernet Sauvignon, Lambrusco Maestri, Lambrusco, Malbech, Malvasia nera di Brindisi, Malvasia nera di Lecce, Merlot, Negroamaro, Negroamaro precoce cannellino, Petit Verdot, Pinot nero, Primitivo, Refosco dal Peduncolo rosso, Sangiovese , Susumaniello, Syrah, Uva di Troia'",vino 'Rosso Frizzante',IGT vino 'Valle d'Itria',"Vitigno 'Aglianico', Vitigno 'Aleatico', Vitigno 'Barbera', Vitigno 'Bombino Nero', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Lambrusco Maestri', Vitigno 'Lambrusco', Vitigno 'Malbech', Vitigno 'Malvasia Nera Di Brindisi', Vitigno 'Malvasia Nera Di Lecce', Vitigno 'Merlot', Vitigno 'Negroamaro', Vitigno 'Negroamaro Precoce Cannellino', Vitigno 'Petit Verdot', Vitigno 'Pinot Nero', Vitigno 'Primitivo', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Sangiovese', Vitigno 'Susumaniello', Vitigno 'Syrah', Vitigno 'Uva Di Troia': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%",85%,15%,"Vitigno 'Aglianico', Vitigno 'Aleatico', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Bombino Nero', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Lambrusco Maestri', Vitigno 'Lambrusco', Vitigno 'Malbech', Vitigno 'Malvasia Nera Di Brindisi', Vitigno 'Malvasia Nera Di Lecce', Vitigno 'Merlot', Vitigno 'Negroamaro Precoce Cannellino', Vitigno 'Negroamaro', Vitigno 'Petit Verdot', Vitigno 'Pinot Nero', Vitigno 'Primitivo', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Sangiovese', Vitigno 'Susumaniello', Vitigno 'Syrah', Vitigno 'Uva Di Troia'",Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
"Vino 'Valle d'Itria' Bianco Frizzante, varietà un vitigno a bacca bianca tra: Bianco di Alessano, Bombino bianco, Chardonnay, Falanghina, Fiano, Greco, Greco bianco, Incrocio Manzoni 6.0.13, Malvasia bianca, Montonico, Moscatello selvatico, Moscato bianco, Pampanuto, Pinot bianco, Pinot grigio, Riesling italico, Riesling renano, Sauvignon, Semillon, Sylvaner verde, Verdeca, Verdicchio, Vermentino'",vino 'Bianco Frizzante',IGT vino 'Valle d'Itria',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Bianco Di Alessano', Vitigno 'Bombino Bianco', Vitigno 'Chardonnay', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco', Vitigno 'Greco Bianco', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Montonico', Vitigno 'Moscatello Selvatico', Vitigno 'Moscato Bianco', Vitigno 'Pampanuto', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Semillon', Vitigno 'Sylvaner Verde', Vitigno 'Verdeca', Vitigno 'Verdicchio', Vitigno 'Vermentino': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Bianco Di Alessano', Vitigno 'Bombino Bianco', Vitigno 'Chardonnay', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco Bianco', Vitigno 'Greco', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Bianca', Vitigno 'Montonico', Vitigno 'Moscatello Selvatico', Vitigno 'Moscato Bianco', Vitigno 'Pampanuto', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Semillon', Vitigno 'Sylvaner Verde', Vitigno 'Verdeca', Vitigno 'Verdicchio', Vitigno 'Vermentino'",Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
Vino 'Valle d'Itria' Bianco Spumante,vino 'Bianco Spumante',IGT vino 'Valle d'Itria',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Provincia': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Provincia',Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
Vino 'Valle d'Itria' Rosato Frizzante,vino 'Rosato Frizzante',IGT vino 'Valle d'Itria',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Provincia': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Provincia',Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
Vino 'Valle d'Itria' Rosato Novello,vino 'Rosato Novello',IGT vino 'Valle d'Itria',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Provincia': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Provincia',Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
Vino 'Valle d'Itria' Novello,"vino 'Novello ', vino 'Novello'",IGT vino 'Valle d'Itria',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia',Puglia,"Provincia di Bari, Provincia di Brindisi, Provincia di Taranto, Provincia di Brindisi, Provincia di Agrigento, Taranto","Ceglie Messapica, Cisternino, Fasano, Alberobello, Crispiano, Locorotondo, Martina Franca"
