Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Benaco Bresciano' Novello,"vino 'Novello ', vino 'Novello'",IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Groppello', Vitigno 'Marzemino', Vitigno 'Barbera', Vitigno 'Sangiovese', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Nebbiolo', Vitigno 'Pinot Nero', Vitigno 'Rebo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Groppello', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Nebbiolo', Vitigno 'Pinot Nero', Vitigno 'Rebo', Vitigno 'Sangiovese'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
Vino 'Benaco Bresciano' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Chardonnay', Vitigno 'Pinot Bianco', Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano', Vitigno 'Pinot Grigio', Vitigno 'Manzoni Bianco': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Manzoni Bianco', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
Vino 'Benaco Bresciano' Bianco Passito,vino 'Bianco Passito',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Chardonnay', Vitigno 'Pinot Bianco', Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano', Vitigno 'Pinot Grigio', Vitigno 'Manzoni Bianco': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Manzoni Bianco', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
Vino 'Benaco Bresciano' Rosso,vino 'Rosso',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Groppello', Vitigno 'Marzemino', Vitigno 'Barbera', Vitigno 'Sangiovese', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Nebbiolo', Vitigno 'Pinot Nero', Vitigno 'Rebo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Groppello', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Nebbiolo', Vitigno 'Pinot Nero', Vitigno 'Rebo', Vitigno 'Sangiovese'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
"Vino 'Benaco Bresciano' Bianco, varietà un vitigno a bacca bianca tra: Riesling, Chardonnay, Pinot bianco, Pinot grigio, Trebbiano, Incrocio Manzoni'",vino 'Bianco',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Chardonnay', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano', Vitigno 'Manzoni Bianco': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Manzoni Bianco', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
Vino 'Benaco Bresciano' Bianco,vino 'Bianco',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Chardonnay', Vitigno 'Pinot Bianco', Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano', Vitigno 'Pinot Grigio', Vitigno 'Manzoni Bianco': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Manzoni Bianco', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
"Vino 'Benaco Bresciano' Rosso, varietà un vitigno a bacca nera tra: Marzemino, Barbera, Merlot, Cabernet, Pinot nero, Sangiovese # Rebo'",vino 'Rosso',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Marzemino', Vitigno 'Barbera', Vitigno 'Merlot', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Pinot Nero', Vitigno 'Sangiovese', Vitigno 'Rebo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Rebo', Vitigno 'Sangiovese'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
"Vino 'Benaco Bresciano' Novello, varietà un vitigno a bacca nera tra: Marzemino, Barbera, Merlot, Cabernet, Pinot nero, Sangiovese, Rebo'","vino 'Novello ', vino 'Novello'",IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Marzemino', Vitigno 'Barbera', Vitigno 'Merlot', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Pinot Nero', Vitigno 'Sangiovese', Vitigno 'Rebo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Rebo', Vitigno 'Sangiovese'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
"Vino 'Benaco Bresciano' Rosso Frizzante, varietà un vitigno a bacca nera tra: Marzemino, Barbera, Merlot, Cabernet, Pinot nero, Sangiovese, Rebo'",vino 'Rosso Frizzante',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Marzemino', Vitigno 'Barbera', Vitigno 'Merlot', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Pinot Nero', Vitigno 'Sangiovese', Vitigno 'Rebo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Marzemino', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Rebo', Vitigno 'Sangiovese'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
"Vino 'Benaco Bresciano' Bianco Frizzante, varietà un vitigno a bacca bianca tra: Riesling, Chardonnay, Pinot bianco, Pinot grigio, Trebbiano, Incrocio Manzoni'",vino 'Bianco Frizzante',IGT vino 'Benaco Bresciano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Chardonnay', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano', Vitigno 'Manzoni Bianco': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Manzoni Bianco', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Trebbiano Di Soave', Vitigno 'Trebbiano Toscano'",Lombardia,"Brescia, Provincia di Brescia","Bedizzole, Desenzano del Garda, Gardone Riviera, Gargnano, Limone sul Garda, Sirmione, Toscolano-Maderno"
